t, c	M(t), рад	E(t), рад	Theta(t), рад	
710	0.0688435	0.0688429	0.76616
711	0.0689405	0.0689399	0.767137
712	0.0690375	0.0690369	0.768114
713	0.0691344	0.0691338	0.76909
714	0.0692314	0.0692308	0.770066
715	0.0693284	0.0693278	0.771042
716	0.0694253	0.0694247	0.772017
717	0.0695223	0.0695217	0.772992
718	0.0696192	0.0696186	0.773966
719	0.0697162	0.0697156	0.77494
720	0.0698132	0.0698126	0.775914
721	0.0699101	0.0699095	0.776887
722	0.0700071	0.0700065	0.77786
723	0.0701041	0.0701035	0.778833
724	0.070201	0.0702004	0.779805
725	0.070298	0.0702974	0.780777
726	0.0703949	0.0703944	0.781748
727	0.0704919	0.0704913	0.782719
728	0.0705889	0.0705883	0.78369
729	0.0706858	0.0706852	0.78466
